iter	MultiClass
0	1.097478161
1	1.094098039
2	1.09008082
3	1.087763122
4	1.086228028
5	1.084508364
6	1.081463617
7	1.078855202
8	1.076722217
9	1.074768191
10	1.073439049
11	1.071672403
12	1.069871881
13	1.067392641
14	1.066546105
15	1.065262277
16	1.063236228
17	1.061872289
18	1.061177486
19	1.059664414
20	1.058457247
21	1.057151019
22	1.055387343
23	1.054563225
24	1.052805392
25	1.051941263
26	1.051569276
27	1.050851635
28	1.050133911
29	1.049021725
30	1.048469992
31	1.047924882
32	1.047670867
33	1.046107558
34	1.044906445
35	1.043188493
36	1.042232079
37	1.041574479
38	1.04103059
39	1.040394772
40	1.039883886
41	1.038985398
42	1.038171495
43	1.037994994
44	1.036870905
45	1.036359585
46	1.03513755
47	1.034515926
48	1.03425839
49	1.033665942
50	1.03245204
51	1.032022869
52	1.031758847
53	1.031032524
54	1.030165939
55	1.029222218
56	1.02864564
57	1.028376827
58	1.027417256
59	1.027084666
60	1.026570712
61	1.026367315
62	1.025915076
63	1.025246203
64	1.024743379
65	1.024660263
66	1.024479233
67	1.023850934
68	1.023395539
69	1.02312366
70	1.022628755
71	1.021982967
72	1.021758126
73	1.021398301
74	1.021221642
75	1.020959157
76	1.019931166
77	1.019178574
78	1.018638322
79	1.018027892
80	1.017635498
81	1.017270335
82	1.016954471
83	1.016679726
84	1.01613024
85	1.015727181
86	1.01500544
87	1.014613484
88	1.014341375
89	1.014034652
90	1.013772473
91	1.013027679
92	1.012937028
93	1.012409801
94	1.01186557
95	1.011364677
96	1.011111277
97	1.010668339
98	1.010045068
99	1.009805657
