iter	Passed	Remaining
0	1	131
1	1	81
2	2	66
3	2	57
4	2	51
5	3	48
6	3	46
7	3	44
8	4	42
9	4	41
10	4	40
11	5	38
12	5	37
13	6	36
14	6	36
15	6	35
16	7	35
17	7	34
18	7	33
19	8	33
20	8	32
21	8	31
22	9	31
23	9	31
24	10	30
25	10	30
26	10	29
27	11	28
28	11	28
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	14	24
36	14	24
37	14	24
38	15	23
39	15	23
40	15	22
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	18	19
49	19	19
50	19	18
51	19	18
52	20	17
53	20	17
54	20	17
55	21	16
56	21	16
57	22	15
58	22	15
59	22	15
60	23	14
61	23	14
62	23	14
63	24	13
64	24	13
65	25	12
66	25	12
67	25	12
68	26	11
69	26	11
70	27	11
71	27	10
72	27	10
73	28	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	30	6
82	31	6
83	31	6
84	31	5
85	32	5
86	32	4
87	33	4
88	33	4
89	33	3
90	34	3
91	34	2
92	34	2
93	35	2
94	35	1
95	35	1
96	36	1
97	36	0
98	36	0
99	37	0
